performance_id,composer,piece_id,title,source,performance_audio_external,performance_MIDI_external,MIDI_score_external,performance_annotation_external,score_annotation_external,folder,performance_audio,performance_MIDI,MIDI_score,aligned,performance_annotation,score_annotation,duration,split
S_21,Bach,46,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,{MAPS}/AkPnBcht/MUS/MAPS_MUS-bach_847_AkPnBcht.wav,{A_MAPS}/MAPS_MUS-bach_847_AkPnBcht.mid,{A_MAPS}/MAPS_MUS-bach_847_AkPnBcht.mid,,,subset_S/Bach/46_CPM_The_Well-Tempered_Clavier_Part1_BWV_847,S_21_MAPS.wav,S_21_A_MAPS_bach_847_AkPnBcht.mid,S_21_A_MAPS_bach_847_AkPnBcht.mid,True,S_21_A_MAPS_annotation.tsv,S_21_A_MAPS_annotation.tsv,190.25854048749983,train
S_22,Bach,46,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-bach_847_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-bach_847_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-bach_847_AkPnStgb.mid,,,subset_S/Bach/46_CPM_The_Well-Tempered_Clavier_Part1_BWV_847,S_22_MAPS.wav,S_22_A_MAPS_bach_847_AkPnStgb.mid,S_22_A_MAPS_bach_847_AkPnStgb.mid,True,S_22_A_MAPS_annotation.tsv,S_22_A_MAPS_annotation.tsv,190.25854048749983,train
S_23,Bach,46,CPM_The_Well-Tempered_Clavier_Part1_BWV_847,MAPS,{MAPS}/SptkBGCl/MUS/MAPS_MUS-bach_847_SptkBGCl.wav,{A_MAPS}/MAPS_MUS-bach_847_SptkBGCl.mid,{A_MAPS}/MAPS_MUS-bach_847_SptkBGCl.mid,,,subset_S/Bach/46_CPM_The_Well-Tempered_Clavier_Part1_BWV_847,S_23_MAPS.wav,S_23_A_MAPS_bach_847_SptkBGCl.mid,S_23_A_MAPS_bach_847_SptkBGCl.mid,True,S_23_A_MAPS_annotation.tsv,S_23_A_MAPS_annotation.tsv,190.25854048749983,train
S_24,Bach,48,CPM_The_Well-Tempered_Clavier_Part1_BWV_850,MAPS,{MAPS}/AkPnBsdf/MUS/MAPS_MUS-bach_850_AkPnBsdf.wav,{A_MAPS}/MAPS_MUS-bach_850_AkPnBsdf.mid,{A_MAPS}/MAPS_MUS-bach_850_AkPnBsdf.mid,,,subset_S/Bach/48_CPM_The_Well-Tempered_Clavier_Part1_BWV_850,S_24_MAPS.wav,S_24_A_MAPS_bach_850_AkPnBsdf.mid,S_24_A_MAPS_bach_850_AkPnBsdf.mid,True,S_24_A_MAPS_annotation.tsv,S_24_A_MAPS_annotation.tsv,173.47344768750006,train
S_25,Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}/AkPnBsdf/MUS/MAPS_MUS-bk_xmas1_AkPnBsdf.wav,{A_MAPS}/MAPS_MUS-bk_xmas1_AkPnBsdf.mid,{A_MAPS}/MAPS_MUS-bk_xmas1_AkPnBsdf.mid,,,subset_S/Christmas/497_CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,S_25_MAPS.wav,S_25_A_MAPS_bk_xmas1_AkPnBsdf.mid,S_25_A_MAPS_bk_xmas1_AkPnBsdf.mid,True,S_25_A_MAPS_annotation.tsv,S_25_A_MAPS_annotation.tsv,383.85697220416694,test
S_26,Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-bk_xmas1_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-bk_xmas1_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-bk_xmas1_AkPnStgb.mid,,,subset_S/Christmas/497_CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,S_26_MAPS.wav,S_26_A_MAPS_bk_xmas1_AkPnStgb.mid,S_26_A_MAPS_bk_xmas1_AkPnStgb.mid,True,S_26_A_MAPS_annotation.tsv,S_26_A_MAPS_annotation.tsv,383.85697220416694,test
S_27,Christmas,497,CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,MAPS,{MAPS}/StbgTGd2/MUS/MAPS_MUS-bk_xmas1_StbgTGd2.wav,{A_MAPS}/MAPS_MUS-bk_xmas1_StbgTGd2.mid,{A_MAPS}/MAPS_MUS-bk_xmas1_StbgTGd2.mid,,,subset_S/Christmas/497_CPM_Heinrich_Lichner_Fantasia_of_Silent_Night_Holy_Night_Opus_269_No.3,S_27_MAPS.wav,S_27_A_MAPS_bk_xmas1_StbgTGd2.mid,S_27_A_MAPS_bk_xmas1_StbgTGd2.mid,True,S_27_A_MAPS_annotation.tsv,S_27_A_MAPS_annotation.tsv,383.85697220416694,test
S_28,Christmas,494,CPM_Ferd.Keller_Christmas_Fantasia,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-bk_xmas2_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-bk_xmas2_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-bk_xmas2_AkPnStgb.mid,,,subset_S/Christmas/494_CPM_Ferd.Keller_Christmas_Fantasia,S_28_MAPS.wav,S_28_A_MAPS_bk_xmas2_AkPnStgb.mid,S_28_A_MAPS_bk_xmas2_AkPnStgb.mid,True,S_28_A_MAPS_annotation.tsv,S_28_A_MAPS_annotation.tsv,399.2796182145828,train
S_29,Christmas,494,CPM_Ferd.Keller_Christmas_Fantasia,MAPS,{MAPS}/SptkBGCl/MUS/MAPS_MUS-bk_xmas2_SptkBGCl.wav,{A_MAPS}/MAPS_MUS-bk_xmas2_SptkBGCl.mid,{A_MAPS}/MAPS_MUS-bk_xmas2_SptkBGCl.mid,,,subset_S/Christmas/494_CPM_Ferd.Keller_Christmas_Fantasia,S_29_MAPS.wav,S_29_A_MAPS_bk_xmas2_SptkBGCl.mid,S_29_A_MAPS_bk_xmas2_SptkBGCl.mid,True,S_29_A_MAPS_annotation.tsv,S_29_A_MAPS_annotation.tsv,399.2796182145828,train
S_30,Christmas,496,CPM_RobertLeonard_Christmas_Fantasia_Opus_99,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-bk_xmas3_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-bk_xmas3_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-bk_xmas3_AkPnStgb.mid,,,subset_S/Christmas/496_CPM_RobertLeonard_Christmas_Fantasia_Opus_99,S_30_MAPS.wav,S_30_A_MAPS_bk_xmas3_AkPnStgb.mid,S_30_A_MAPS_bk_xmas3_AkPnStgb.mid,True,S_30_A_MAPS_annotation.tsv,S_30_A_MAPS_annotation.tsv,498.2934795541673,train
S_31,Christmas,493,CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,MAPS,{MAPS}/SptkBGCl/MUS/MAPS_MUS-bk_xmas4_SptkBGCl.wav,{A_MAPS}/MAPS_MUS-bk_xmas4_SptkBGCl.mid,{A_MAPS}/MAPS_MUS-bk_xmas4_SptkBGCl.mid,,,subset_S/Christmas/493_CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,S_31_MAPS.wav,S_31_A_MAPS_bk_xmas4_SptkBGCl.mid,S_31_A_MAPS_bk_xmas4_SptkBGCl.mid,True,S_31_A_MAPS_annotation.tsv,S_31_A_MAPS_annotation.tsv,228.85325132916657,test
S_32,Christmas,493,CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,MAPS,{MAPS}/StbgTGd2/MUS/MAPS_MUS-bk_xmas4_StbgTGd2.wav,{A_MAPS}/MAPS_MUS-bk_xmas4_StbgTGd2.mid,{A_MAPS}/MAPS_MUS-bk_xmas4_StbgTGd2.mid,,,subset_S/Christmas/493_CPM_M.P.Heller_Joy_of_Christmas_Christmas_Fantasia,S_32_MAPS.wav,S_32_A_MAPS_bk_xmas4_StbgTGd2.mid,S_32_A_MAPS_bk_xmas4_StbgTGd2.mid,True,S_32_A_MAPS_annotation.tsv,S_32_A_MAPS_annotation.tsv,228.85325132916657,test
S_33,Christmas,495,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}/AkPnBcht/MUS/MAPS_MUS-bk_xmas5_AkPnBcht.wav,{A_MAPS}/MAPS_MUS-bk_xmas5_AkPnBcht.mid,{A_MAPS}/MAPS_MUS-bk_xmas5_AkPnBcht.mid,,,subset_S/Christmas/495_CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,S_33_MAPS.wav,S_33_A_MAPS_bk_xmas5_AkPnBcht.mid,S_33_A_MAPS_bk_xmas5_AkPnBcht.mid,True,S_33_A_MAPS_annotation.tsv,S_33_A_MAPS_annotation.tsv,393.82873138541635,test
S_34,Christmas,495,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}/AkPnCGdD/MUS/MAPS_MUS-bk_xmas5_AkPnCGdD.wav,{A_MAPS}/MAPS_MUS-bk_xmas5_AkPnCGdD.mid,{A_MAPS}/MAPS_MUS-bk_xmas5_AkPnCGdD.mid,,,subset_S/Christmas/495_CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,S_34_MAPS.wav,S_34_A_MAPS_bk_xmas5_AkPnCGdD.mid,S_34_A_MAPS_bk_xmas5_AkPnCGdD.mid,True,S_34_A_MAPS_annotation.tsv,S_34_A_MAPS_annotation.tsv,393.82873138541635,test
S_35,Christmas,495,CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,MAPS,{MAPS}/StbgTGd2/MUS/MAPS_MUS-bk_xmas5_StbgTGd2.wav,{A_MAPS}/MAPS_MUS-bk_xmas5_StbgTGd2.mid,{A_MAPS}/MAPS_MUS-bk_xmas5_StbgTGd2.mid,,,subset_S/Christmas/495_CPM_GustavLange_To_Christmas_Fantasia_Opus_172_No.5,S_35_MAPS.wav,S_35_A_MAPS_bk_xmas5_StbgTGd2.mid,S_35_A_MAPS_bk_xmas5_StbgTGd2.mid,True,S_35_A_MAPS_annotation.tsv,S_35_A_MAPS_annotation.tsv,393.82873138541635,test
S_36,Borodin,143,CPM_Petite_Suite_In_the_monastery,MAPS,{MAPS}/AkPnCGdD/MUS/MAPS_MUS-bor_ps1_AkPnCGdD.wav,{A_MAPS}/MAPS_MUS-bor_ps1_AkPnCGdD.mid,{A_MAPS}/MAPS_MUS-bor_ps1_AkPnCGdD.mid,,,subset_S/Borodin/143_CPM_Petite_Suite_In_the_monastery,S_36_MAPS.wav,S_36_A_MAPS_bor_ps1_AkPnCGdD.mid,S_36_A_MAPS_bor_ps1_AkPnCGdD.mid,True,S_36_A_MAPS_annotation.tsv,S_36_A_MAPS_annotation.tsv,259.0211829666667,train
S_37,Borodin,144,CPM_Petite_Suite_Intermezzo,MAPS,{MAPS}/SptkBGAm/MUS/MAPS_MUS-bor_ps2_SptkBGAm.wav,{A_MAPS}/MAPS_MUS-bor_ps2_SptkBGAm.mid,{A_MAPS}/MAPS_MUS-bor_ps2_SptkBGAm.mid,,,subset_S/Borodin/144_CPM_Petite_Suite_Intermezzo,S_37_MAPS.wav,S_37_A_MAPS_bor_ps2_SptkBGAm.mid,S_37_A_MAPS_bor_ps2_SptkBGAm.mid,True,S_37_A_MAPS_annotation.tsv,S_37_A_MAPS_annotation.tsv,163.06670050000014,train
S_38,Borodin,147,CPM_Petite_Suite_Reverie,MAPS,{MAPS}/AkPnStgb/MUS/MAPS_MUS-bor_ps5_AkPnStgb.wav,{A_MAPS}/MAPS_MUS-bor_ps5_AkPnStgb.mid,{A_MAPS}/MAPS_MUS-bor_ps5_AkPnStgb.mid,,,subset_S/Borodin/147_CPM_Petite_Suite_Reverie,S_38_MAPS.wav,S_38_A_MAPS_bor_ps5_AkPnStgb.mid,S_38_A_MAPS_bor_ps5_AkPnStgb.mid,True,S_38_A_MAPS_annotation.tsv,S_38_A_MAPS_annotation.tsv,95.32409856249996,validation
S_39,Borodin,148,CPM_Petite_Suite_Serenade,MAPS,{MAPS}/AkPnBsdf/MUS/MAPS_MUS-bor_ps6_AkPnBsdf.wav,{A_MAPS}/MAPS_MUS-bor_ps6_AkPnBsdf.mid,{A_MAPS}/MAPS_MUS-bor_ps6_AkPnBsdf.mid,,,subset_S/Borodin/148_CPM_Petite_Suite_Serenade,S_39_MAPS.wav,S_39_A_MAPS_bor_ps6_AkPnBsdf.mid,S_39_A_MAPS_bor_ps6_AkPnBsdf.mid,True,S_39_A_MAPS_annotation.tsv,S_39_A_MAPS_annotation.tsv,113.9118323333334,test
S_40,Borodin,148,CPM_Petite_Suite_Serenade,MAPS,{MAPS}/StbgTGd2/MUS/MAPS_MUS-bor_ps6_StbgTGd2.wav,{A_MAPS}/MAPS_MUS-bor_ps6_StbgTGd2.mid,{A_MAPS}/MAPS_MUS-bor_ps6_StbgTGd2.mid,,,subset_S/Borodin/148_CPM_Petite_Suite_Serenade,S_40_MAPS.wav,S_40_A_MAPS_bor_ps6_StbgTGd2.mid,S_40_A_MAPS_bor_ps6_StbgTGd2.mid,True,S_40_A_MAPS_annotation.tsv,S_40_A_MAPS_annotation.tsv,113.9118323333334,test
S_41,Brahms,154,CPM_7_Fantasia_Opus_116_2,MAPS,{MAPS}/AkPnCGdD/MUS/MAPS_MUS-br_im2_AkPnCGdD.wav,{A_MAPS}/MAPS_MUS-br_im2_AkPnCGdD.mid,{A_MAPS}/MAPS_MUS-br_im2_AkPnCGdD.mid,,,subset_S/Brahms/154_CPM_7_Fantasia_Opus_116_2,S_41_MAPS.wav,S_41_A_MAPS_br_im2_AkPnCGdD.mid,S_41_A_MAPS_br_im2_AkPnCGdD.mid,True,S_41_A_MAPS_annotation.tsv,S_41_A_MAPS_annotation.tsv,160.98142824999988,train
S_42,Brahms,154,CPM_7_Fantasia_Opus_116_2,MAPS,{MAPS}/SptkBGAm/MUS/MAPS_MUS-br_im2_SptkBGAm.wav,{A_MAPS}/MAPS_MUS-br_im2_SptkBGAm.mid,{A_MAPS}/MAPS_MUS-br_im2_SptkBGAm.mid,,,subset_S/Brahms/154_CPM_7_Fantasia_Opus_116_2,S_42_MAPS.wav,S_42_A_MAPS_br_im2_SptkBGAm.mid,S_42_A_MAPS_br_im2_SptkBGAm.mid,True,S_42_A_MAPS_annotation.tsv,S_42_A_MAPS_annotation.tsv,160.98142824999988,train
S_43,Brahms,155,CPM_7_Fantasia_Opus_116_5,MAPS,{MAPS}/AkPnBsdf/MUS/MAPS_MUS-br_im5_AkPnBsdf.wav,{A_MAPS}/MAPS_MUS-br_im5_AkPnBsdf.mid,{A_MAPS}/MAPS_MUS-br_im5_AkPnBsdf.mid,,,subset_S/Brahms/155_CPM_7_Fantasia_Opus_116_5,S_43_MAPS.wav,S_43_A_MAPS_br_im5_AkPnBsdf.mid,S_43_A_MAPS_br_im5_AkPnBsdf.mid,True,S_43_A_MAPS_annotation.tsv,S_43_A_MAPS_annotation.tsv,174.43653886041662,train
